bowler,phase,season,runs_conceded,legal_balls,wickets,overs,economy
A Mishra,Death,2019,33.0,18,1,3.0,11.0
A Mishra,Death,2021,16.0,12,1,2.0,8.0
A Mishra,Death,2023,39.0,24,3,4.0,9.75
A Mishra,Middle,2008,98.0,89,6,14.83,6.61
A Mishra,Middle,2009,240.0,223,11,37.17,6.46
A Mishra,Middle,2010,222.0,192,11,32.0,6.94
A Mishra,Middle,2011,219.0,216,11,36.0,6.08
A Mishra,Middle,2012,311.0,240,12,40.0,7.78
A Mishra,Middle,2013,260.0,282,14,47.0,5.53
A Mishra,Middle,2014,253.0,186,5,31.0,8.16
A Mishra,Middle,2015,213.0,186,7,31.0,6.87
A Mishra,Middle,2016,282.0,240,13,40.0,7.05
A Mishra,Middle,2017,332.0,222,8,37.0,8.97
A Mishra,Middle,2018,198.0,186,11,31.0,6.39
A Mishra,Middle,2019,237.0,222,10,37.0,6.41
A Mishra,Middle,2021,155.0,126,8,21.0,7.38
A Mishra,Middle,2023,110.0,90,4,15.0,7.33
A Mishra,Middle,2024,20.0,12,1,2.0,10.0
A Mishra,Powerplay,2008,21.0,12,1,2.0,10.5
A Mishra,Powerplay,2009,15.0,12,0,2.0,7.5
A Mishra,Powerplay,2010,67.0,78,5,13.0,5.15
A Mishra,Powerplay,2011,15.0,12,0,2.0,7.5
A Mishra,Powerplay,2013,12.0,6,0,1.0,12.0
A Mishra,Powerplay,2018,32.0,12,0,2.0,16.0
A Mishra,Powerplay,2021,10.0,6,0,1.0,10.0
A Mithun,Death,2009,14.0,6,0,1.0,14.0
A Mithun,Death,2010,19.0,6,0,1.0,19.0
A Mithun,Death,2011,90.0,54,4,9.0,10.0
A Mithun,Death,2012,16.0,6,0,1.0,16.0
A Mithun,Death,2013,15.0,6,1,1.0,15.0
A Mithun,Middle,2009,15.0,12,0,2.0,7.5
A Mithun,Middle,2010,7.0,6,0,1.0,7.0
A Mithun,Middle,2011,187.0,120,2,20.0,9.35
A Mithun,Middle,2013,6.0,6,0,1.0,6.0
A Mithun,Powerplay,2009,13.0,6,0,1.0,13.0
A Mithun,Powerplay,2010,13.0,6,1,1.0,13.0
A Mithun,Powerplay,2011,44.0,30,0,5.0,8.8
A Mithun,Powerplay,2012,17.0,12,0,2.0,8.5
A Mithun,Powerplay,2013,16.0,12,0,2.0,8.0
A Nehra,Death,2008,91.0,59,5,9.83,9.26
A Nehra,Death,2009,131.0,108,13,18.0,7.28
A Nehra,Death,2010,43.0,30,3,5.0,8.6
A Nehra,Death,2012,141.0,84,7,14.0,10.07
A Nehra,Death,2013,135.0,72,7,12.0,11.25
A Nehra,Death,2014,56.0,36,6,6.0,9.33
A Nehra,Death,2015,109.0,84,11,14.0,7.79
A Nehra,Death,2016,26.0,18,4,3.0,8.67
A Nehra,Death,2017,46.0,36,7,6.0,7.67
A Nehra,Middle,2008,48.0,42,3,7.0,6.86
A Nehra,Middle,2009,29.0,30,0,5.0,5.8
A Nehra,Middle,2012,102.0,90,4,15.0,6.8
A Nehra,Middle,2013,19.0,24,2,4.0,4.75
A Nehra,Middle,2014,20.0,6,0,1.0,20.0
A Nehra,Middle,2015,46.0,36,2,6.0,7.67
A Nehra,Middle,2016,36.0,30,2,5.0,7.2
A Nehra,Middle,2017,51.0,30,0,5.0,10.2
A Nehra,Powerplay,2008,209.0,168,6,28.0,7.46
A Nehra,Powerplay,2009,186.0,168,9,28.0,6.64
A Nehra,Powerplay,2010,53.0,54,3,9.0,5.89
A Nehra,Powerplay,2012,159.0,114,1,19.0,8.37
A Nehra,Powerplay,2013,162.0,120,4,20.0,8.1
A Nehra,Powerplay,2014,66.0,48,2,8.0,8.25
A Nehra,Powerplay,2015,294.0,252,12,42.0,7.0
A Nehra,Powerplay,2016,137.0,108,5,18.0,7.61
A Nehra,Powerplay,2017,100.0,61,3,10.17,9.83
A Nel,Death,2008,8.0,6,0,1.0,8.0
A Nel,Middle,2008,11.0,6,0,1.0,11.0
A Nel,Powerplay,2008,12.0,6,1,1.0,12.0
A Nortje,Death,2021,287.0,210,15,35.0,8.2
A Nortje,Death,2022,69.0,44,5,7.33,9.41
A Nortje,Death,2023,185.0,114,6,19.0,9.74
A Nortje,Death,2024,160.0,54,3,9.0,17.78
A Nortje,Death,2025,30.0,12,0,2.0,15.0
A Nortje,Death,2026,13.0,6,0,1.0,13.0
A Nortje,Middle,2021,126.0,92,8,15.33,8.22
A Nortje,Middle,2022,55.0,30,1,5.0,11.0
A Nortje,Middle,2023,56.0,42,0,7.0,8.0
A Nortje,Middle,2024,65.0,42,2,7.0,9.29
A Nortje,Middle,2025,14.0,12,1,2.0,7.0
